Order,Infraorder,Superfamily,FAMILY,SUBFAMILY,GENUS,SPECIES,subspecies,Author,YEAR,SYNONYM(S),,Fossil
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalmidae,Ctenophthalminae,Ctenophthalmus,dolichus,ustjurt,Ioff,1940,,,
Siphonaptera,Ceratophyllomorpha,Ceratophylloidea,Ceratophyllidae,Ceratophyllinae,Ceratophyllus,vagabundus,vagabundus,(Boheman),1866,"Ceratophyllus digitalis Wahlgren, 1903; Ceratophyllus monedulae Wahlgren, 1907; Ceratophyllus vagabundus orientalis Wagner, 1930",,
Siphonaptera,Ceratophyllomorpha,Ceratophylloidea,Ceratophyllidae,Ceratophyllinae,Amalaraeus,penicilliger,vallis,(Ioff),1946,,,
Siphonaptera,Ceratophyllomorpha,Ceratophylloidea,Leptopsyllidae,Amphipsyllinae,Frontopsylla,elata,vara,Mikulin,1960,,,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalmidae,Ctenophthalminae,Ctenophthalmus,andorrensis,veletensis,"Beaucournu, Glover & Valle",1973,,,
Siphonaptera,Ceratophyllomorpha,Ceratophylloidea,Ceratophyllidae,Ceratophyllinae,Dasypsyllus,lasius,venezuelensis,(I. Fox & Anduze),1947,,,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalmidae,Rhadinopsyllinae,Rhadinopsylla,li,ventricosa,Ioff & Tiflov,1946,,,
Siphonaptera,Ceratophyllomorpha,Ceratophylloidea,Leptopsyllidae,Leptopsyllinae,Leptopsylla,pectiniceps,ventrisinulata,"Chen, Zhang & Liu",1984,,,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalmidae,Ctenophthalminae,Ctenophthalmus,agyrtes,verbanus,Jordan & Rothschild,1920,"Ctenophthalmus agyrtes oreadis Jordan & Rothschild, 1920",,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalmidae,Ctenophthalminae,Palaeopsylla,soricis,vesperis,Smit,1975,,,
Siphonaptera,Ceratophyllomorpha,Ceratophylloidea,Leptopsyllidae,Leptopsyllinae,Peromyscopsylla,spectabilis,viatrix,Beaucournu,1975,,,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalmidae,Ctenophthalminae,Ctenophthalmus,congener,vicarious,Jordan & Rothschild,1921,Ctenophthalmus congener bulgaricus Rosicky 1959,,
